AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037790;0,008990;1,005880;-0,308840;-0,062120;0,254320;45,085712;14,156782;2,222400;157,500000;47,600000;10;45;36,953;06/01/2021
-0,037320;0,009420;1,005550;-0,316500;-0,084260;0,252950;45,085713;14,156783;2,407600;157,400000;50,000000;10;45;37,209;06/01/2021
-0,037600;0,009250;1,005760;-0,311750;-0,078220;0,214540;45,085713;14,156785;2,407600;157,300000;49,200000;10;45;37,465;06/01/2021
-0,037220;0,009670;1,005530;-0,317940;-0,077750;0,277320;45,085715;14,156785;2,592800;157,200000;48,200000;10;45;37,721;06/01/2021
-0,037910;0,009330;1,005350;-0,315880;-0,074960;0,267320;45,085718;14,156788;2,592800;157,100000;47,900000;10;45;37,977;06/01/2021
-0,037130;0,009470;1,005130;-0,317210;-0,084760;0,238930;45,085718;14,156788;2,407600;157,100000;48,700000;10;45;38,233;06/01/2021
-0,037560;0,009460;1,005630;-0,324700;-0,078850;0,259780;45,085718;14,156790;2,407600;157,000000;50,500000;10;45;38,490;06/01/2021
-0,037610;0,009190;1,005400;-0,322020;-0,089790;0,196870;45,085720;14,156792;2,407600;157,100000;46,400000;10;45;38,745;06/01/2021
-0,037360;0,009370;1,005400;-0,324670;-0,077000;0,259020;45,085723;14,156792;2,407600;157,100000;44,000000;10;45;39,002;06/01/2021
-0,037920;0,009670;1,005580;-0,311610;-0,074850;0,264840;45,085725;14,156793;2,407600;156,900000;40,300000;10;45;39,257;06/01/2021
-0,036850;0,009220;1,005630;-0,305750;-0,080840;0,220330;45,085725;14,156795;2,407600;156,800000;40,400000;10;45;39,513;06/01/2021
-0,037940;0,009410;1,005860;-0,319850;-0,076150;0,249860;45,085727;14,156795;2,407600;156,900000;39,500000;10;45;39,770;06/01/2021
-0,037270;0,009370;1,005750;-0,322970;-0,077280;0,217120;45,085728;14,156795;2,222400;156,900000;36,600000;10;45;40,025;06/01/2021
-0,037620;0,009270;1,005660;-0,304380;-0,068540;0,305050;45,085728;14,156797;2,037200;156,800000;40,900000;10;45;40,281;06/01/2021
-0,037480;0,009490;1,005800;-0,322540;-0,075000;0,248980;45,085730;14,156798;2,222400;156,800000;39,000000;10;45;40,538;06/01/2021
-0,037430;0,009210;1,005480;-0,317600;-0,080500;0,266430;45,085733;14,156798;2,407600;156,700000;33,700000;10;45;40,793;06/01/2021
-0,037530;0,009610;1,005220;-0,309120;-0,082900;0,283590;45,085735;14,156800;2,592800;156,600000;33,000000;10;45;41,049;06/01/2021
-0,037630;0,009350;1,005500;-0,305180;-0,097440;0,245850;45,085737;14,156802;2,592800;156,500000;36,100000;10;45;41,305;06/01/2021
-0,037430;0,009320;1,005390;-0,312540;-0,074520;0,320580;45,085738;14,156803;2,592800;156,400000;38,700000;10;45;41,561;06/01/2021
-0,037520;0,009350;1,005680;-0,315690;-0,082070;0,225530;45,085740;14,156805;2,963200;156,400000;40,400000;10;45;41,817;06/01/2021
-0,037730;0,009170;1,005440;-0,312030;-0,072040;0,266420;45,085740;14,156807;2,963200;156,400000;42,800000;10;45;42,073;06/01/2021
-0,037250;0,009540;1,005610;-0,319960;-0,073660;0,236170;45,085742;14,156808;2,963200;156,300000;42,100000;10;45;42,329;06/01/2021
-0,037710;0,009430;1,005780;-0,306430;-0,066460;0,236180;45,085743;14,156810;2,963200;156,100000;43,800000;10;45;42,585;06/01/2021
-0,037280;0,009230;1,005710;-0,316680;-0,067560;0,226300;45,085745;14,156812;2,963200;156,000000;44,800000;10;45;42,840;06/01/2021
-0,037690;0,009270;1,006080;-0,321450;-0,074780;0,199370;45,085747;14,156813;3,148400;156,000000;46,400000;10;45;43,097;06/01/2021
-0,037590;0,009460;1,005850;-0,324470;-0,083400;0,272050;45,085748;14,156815;2,963200;155,900000;45,800000;10;45;43,354;06/01/2021
-0,037330;0,009150;1,005330;-0,319140;-0,088780;0,273410;45,085748;14,156815;2,778000;155,900000;45,700000;10;45;43,608;06/01/2021
-0,037560;0,009580;1,005290;-0,324660;-0,072150;0,305680;45,085750;14,156815;2,592800;155,900000;44,700000;10;45;43,865;06/01/2021
-0,037410;0,009380;1,005370;-0,319350;-0,092200;0,268000;45,085750;14,156815;2,407600;155,700000;44,100000;10;45;44,121;06/01/2021
